C1, 39.05, -9.21, 270.00, 10uF S, C0805
D1, 22.23, -39.05, 270.00, , SMA-DIODE
LED1, 12.07, -9.21, 0.00, WS2812B_ALT, WS2812B
LED10, 19.37, -24.45, 0.00, WS2812B_ALT, WS2812B
LED11, 26.67, -24.45, 0.00, WS2812B_ALT, WS2812B
LED12, 33.97, -24.45, 0.00, WS2812B_ALT, WS2812B
LED13, 33.97, -32.38, 180.00, WS2812B_ALT, WS2812B
LED14, 26.67, -32.38, 180.00, WS2812B_ALT, WS2812B
LED15, 19.37, -32.38, 180.00, WS2812B_ALT, WS2812B
LED16, 11.97, -32.41, 180.00, WS2812B_ALT, WS2812B
LED2, 19.37, -9.21, 0.00, WS2812B_ALT, WS2812B
LED3, 26.67, -9.21, 0.00, WS2812B_ALT, WS2812B
LED4, 33.97, -9.21, 0.00, WS2812B_ALT, WS2812B
LED5, 33.97, -16.51, 180.00, WS2812B_ALT, WS2812B
LED6, 26.67, -16.51, 180.00, WS2812B_ALT, WS2812B
LED7, 19.37, -16.51, 180.00, WS2812B_ALT, WS2812B
LED8, 12.07, -16.51, 180.00, WS2812B_ALT, WS2812B
LED9, 12.07, -24.45, 0.00, WS2812B_ALT, WS2812B
R1, 16.51, -38.10, 90.00, 10K S, R0805
R10, 4.45, -25.40, 0.00, 10K S, R0805
R12, 46.36, -37.15, 90.00, 10K S, R0805
R13, 4.45, -27.94, 0.00, 10K S, R0805
R15, 13.65, -38.10, 90.00, 10K S, R0805
R2, 19.37, -38.10, 270.00, 10R S, R0805
R3, 4.45, -13.02, 0.00, 10K S, R0805
R5, 13.65, -4.45, 0.00, 10K S, R0805
R6, 7.62, -11.75, 270.00, 330R S, R0805
R7, 4.45, -15.56, 0.00, 10K S, R0805
R9, 32.38, 0.00, 180.00, 10K S, R0805
S1, 6.67, -2.22, 0.00, SMD_SWT, TACTILE_SWITCH_TALL
S2, 39.37, -2.22, 180.00, SMD_SWT, TACTILE_SWITCH_TALL
S3, 39.37, -39.37, 0.00, SMD_SWT, TACTILE_SWITCH_TALL
S4, 6.67, -39.37, 0.00, SMD_SWT, TACTILE_SWITCH_TALL
